,library,sample,protocol,platform,lab,batch,rep,sample_rep
69,P_ILM_L1_B1_F7_3,F7,P,ILM,L1,P_ILM_L1_B1,3,F7_3
70,P_ILM_L1_B1_M8_1,M8,P,ILM,L1,P_ILM_L1_B1,1,M8_1
71,P_ILM_L1_B1_M8_2,M8,P,ILM,L1,P_ILM_L1_B1,2,M8_2
72,P_ILM_L1_B1_M8_3,M8,P,ILM,L1,P_ILM_L1_B1,3,M8_3
73,P_ILM_L2_B1_D5_1,D5,P,ILM,L2,P_ILM_L2_B1,1,D5_1
74,P_ILM_L2_B1_D5_2,D5,P,ILM,L2,P_ILM_L2_B1,2,D5_2
75,P_ILM_L2_B1_D5_3,D5,P,ILM,L2,P_ILM_L2_B1,3,D5_3
76,P_ILM_L2_B1_D6_1,D6,P,ILM,L2,P_ILM_L2_B1,1,D6_1
77,P_ILM_L2_B1_D6_2,D6,P,ILM,L2,P_ILM_L2_B1,2,D6_2
78,P_ILM_L2_B1_D6_3,D6,P,ILM,L2,P_ILM_L2_B1,3,D6_3
79,P_ILM_L2_B1_F7_1,F7,P,ILM,L2,P_ILM_L2_B1,1,F7_1
80,P_ILM_L2_B1_F7_2,F7,P,ILM,L2,P_ILM_L2_B1,2,F7_2
81,P_ILM_L2_B1_F7_3,F7,P,ILM,L2,P_ILM_L2_B1,3,F7_3
82,P_ILM_L2_B1_M8_1,M8,P,ILM,L2,P_ILM_L2_B1,1,M8_1
83,P_ILM_L2_B1_M8_2,M8,P,ILM,L2,P_ILM_L2_B1,2,M8_2
84,P_ILM_L2_B1_M8_3,M8,P,ILM,L2,P_ILM_L2_B1,3,M8_3
85,P_ILM_L5_B1_D5_1,D5,P,ILM,L5,P_ILM_L5_B1,1,D5_1
86,P_ILM_L5_B1_D5_2,D5,P,ILM,L5,P_ILM_L5_B1,2,D5_2
87,P_ILM_L5_B1_D5_3,D5,P,ILM,L5,P_ILM_L5_B1,3,D5_3
88,P_ILM_L5_B1_D6_1,D6,P,ILM,L5,P_ILM_L5_B1,1,D6_1
89,P_ILM_L5_B1_D6_2,D6,P,ILM,L5,P_ILM_L5_B1,2,D6_2
90,P_ILM_L5_B1_D6_3,D6,P,ILM,L5,P_ILM_L5_B1,3,D6_3
91,P_ILM_L5_B1_F7_1,F7,P,ILM,L5,P_ILM_L5_B1,1,F7_1
92,P_ILM_L5_B1_F7_2,F7,P,ILM,L5,P_ILM_L5_B1,2,F7_2
93,P_ILM_L5_B1_F7_3,F7,P,ILM,L5,P_ILM_L5_B1,3,F7_3
94,P_ILM_L5_B1_M8_1,M8,P,ILM,L5,P_ILM_L5_B1,1,M8_1
95,P_ILM_L5_B1_M8_2,M8,P,ILM,L5,P_ILM_L5_B1,2,M8_2
96,P_ILM_L5_B1_M8_3,M8,P,ILM,L5,P_ILM_L5_B1,3,M8_3
97,P_ILM_L6_B1_D5_1,D5,P,ILM,L6,P_ILM_L6_B1,1,D5_1
98,P_ILM_L6_B1_D5_2,D5,P,ILM,L6,P_ILM_L6_B1,2,D5_2
99,P_ILM_L6_B1_D5_3,D5,P,ILM,L6,P_ILM_L6_B1,3,D5_3
100,P_ILM_L6_B1_D6_1,D6,P,ILM,L6,P_ILM_L6_B1,1,D6_1
101,P_ILM_L6_B1_D6_2,D6,P,ILM,L6,P_ILM_L6_B1,2,D6_2
102,P_ILM_L6_B1_D6_3,D6,P,ILM,L6,P_ILM_L6_B1,3,D6_3
103,P_ILM_L6_B1_F7_1,F7,P,ILM,L6,P_ILM_L6_B1,1,F7_1
104,P_ILM_L6_B1_F7_2,F7,P,ILM,L6,P_ILM_L6_B1,2,F7_2
105,P_ILM_L6_B1_F7_3,F7,P,ILM,L6,P_ILM_L6_B1,3,F7_3
106,P_ILM_L6_B1_M8_1,M8,P,ILM,L6,P_ILM_L6_B1,1,M8_1
107,P_ILM_L6_B1_M8_2,M8,P,ILM,L6,P_ILM_L6_B1,2,M8_2
108,P_ILM_L6_B1_M8_3,M8,P,ILM,L6,P_ILM_L6_B1,3,M8_3
109,P_ILM_L8_B1_D5_1,D5,P,ILM,L8,P_ILM_L8_B1,1,D5_1
110,P_ILM_L8_B1_D5_2,D5,P,ILM,L8,P_ILM_L8_B1,2,D5_2
111,P_ILM_L8_B1_D5_3,D5,P,ILM,L8,P_ILM_L8_B1,3,D5_3
112,P_ILM_L8_B1_D6_1,D6,P,ILM,L8,P_ILM_L8_B1,1,D6_1
113,P_ILM_L8_B1_D6_2,D6,P,ILM,L8,P_ILM_L8_B1,2,D6_2
